timestamp,buyer,seller,symbol,currency,price,quantity
0,Amelia,Valentina,STARFRUIT,SEASHELLS,5047.0,13
0,Remy,Valentina,STARFRUIT,SEASHELLS,5047.0,1
0,Remy,Vinnie,AMETHYSTS,SEASHELLS,10004.0,1
1100,Vinnie,Amelia,AMETHYSTS,SEASHELLS,9996.0,2
1700,Remy,Vladimir,AMETHYSTS,SEASHELLS,10002.0,1
1700,Ruby,Vladimir,STARFRUIT,SEASHELLS,5043.0,8
1800,Remy,Valentina,AMETHYSTS,SEASHELLS,10002.0,1
1900,Remy,Vladimir,STARFRUIT,SEASHELLS,5044.0,1
2000,Valentina,Remy,AMETHYSTS,SEASHELLS,9998.0,1
2400,Valentina,Remy,STARFRUIT,SEASHELLS,5038.0,1
2900,Vinnie,Amelia,AMETHYSTS,SEASHELLS,9996.0,1
2900,Valentina,Amelia,AMETHYSTS,SEASHELLS,9996.0,11
3000,Remy,Valentina,AMETHYSTS,SEASHELLS,10005.0,1
3000,Remy,Valentina,STARFRUIT,SEASHELLS,5045.0,1
3100,Vinnie,Remy,AMETHYSTS,SEASHELLS,9996.0,2
3100,Valentina,Remy,STARFRUIT,SEASHELLS,5037.0,2
3200,Valentina,Remy,STARFRUIT,SEASHELLS,5037.0,1
3200,Vinnie,Remy,AMETHYSTS,SEASHELLS,9996.0,1
3200,Vinnie,Remy,STARFRUIT,SEASHELLS,5037.0,1
3200,Valentina,Remy,AMETHYSTS,SEASHELLS,9996.0,1
3700,Remy,Valentina,AMETHYSTS,SEASHELLS,10002.0,1
3800,Valentina,Amelia,STARFRUIT,SEASHELLS,5037.0,14
3800,Valentina,Remy,STARFRUIT,SEASHELLS,5037.0,1
3800,Vinnie,Remy,AMETHYSTS,SEASHELLS,9996.0,1
4200,Vinnie,Ruby,AMETHYSTS,SEASHELLS,9996.0,2
4300,Remy,Vinnie,STARFRUIT,SEASHELLS,5043.0,1
4300,Vladimir,Remy,STARFRUIT,SEASHELLS,5039.0,2
4300,Valentina,Remy,AMETHYSTS,SEASHELLS,9995.0,2
4500,Valentina,Remy,STARFRUIT,SEASHELLS,5038.0,1
4800,Remy,Vinnie,AMETHYSTS,SEASHELLS,10004.0,2
4800,Remy,Valentina,STARFRUIT,SEASHELLS,5044.0,2
5300,Remy,Valentina,STARFRUIT,SEASHELLS,5042.0,1
5700,Valentina,Remy,STARFRUIT,SEASHELLS,5037.0,1
6100,Valentina,Remy,STARFRUIT,SEASHELLS,5038.0,1
6500,Valentina,Remy,AMETHYSTS,SEASHELLS,9998.0,1
6600,Amelia,Vinnie,AMETHYSTS,SEASHELLS,10004.0,2
6700,Rhianna,Vladimir,AMETHYSTS,SEASHELLS,10002.0,3
6900,Remy,Vladimir,AMETHYSTS,SEASHELLS,10002.0,1
6900,Remy,Vladimir,STARFRUIT,SEASHELLS,5043.0,1
7000,Remy,Valentina,STARFRUIT,SEASHELLS,5045.0,2
7000,Remy,Valentina,AMETHYSTS,SEASHELLS,10005.0,2
7300,Remy,Vinnie,STARFRUIT,SEASHELLS,5044.0,2
7300,Remy,Vinnie,AMETHYSTS,SEASHELLS,10004.0,2
7400,Valentina,Remy,STARFRUIT,SEASHELLS,5038.0,1
7700,Valentina,Remy,STARFRUIT,SEASHELLS,5040.0,1
8100,Vinnie,Amelia,AMETHYSTS,SEASHELLS,9996.0,1
8100,Remy,Amelia,AMETHYSTS,SEASHELLS,9996.0,1
